"field_id","capture_site","landscape","MamDiv","MamHill","MicDiv","Dim.1scaled","Dim.2scaled","parShnEx","habitat.size.tabellor","canopy_cover_perc","canopy_height_m","understorey_density_perc","GenDiv"
"1156","PH","island",0.3293037471426,1.171,0.732,-1.54776712978603,-0.0687711514832324,1.42809433206103,9.1,82,13,31,0.626
"1161","PH","island",0.3293037471426,1.171,0.781,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.717
"1166","PH","island",0.3293037471426,1.171,0.733,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.725
"1177","PH","island",0.3293037471426,1.171,0.731,-1.54776712978603,-0.0687711514832324,1.31350568250387,9.1,82,13,31,0.579
"1195","PH","island",0.3293037471426,1.171,0.692,-1.54776712978603,-0.0687711514832324,1.65044824352141,9.1,82,13,31,0.321
"1206","PH","island",0.3293037471426,1.171,0.74,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.605
"1211","FR","continuous.forest",0.978326122793608,1.703,0.875,0.732388637130749,0.467387370602807,1.20175770184067,516.2,81,15,57,0.445
"1212","FR","continuous.forest",0.978326122793608,1.703,0.759,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.783
"1248","FR","continuous.forest",0.978326122793608,1.703,0.755,0.732388637130749,0.467387370602807,1.99513447554333,516.2,81,15,57,0.67
"1257","FR","continuous.forest",0.978326122793608,1.703,0.738,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.702
"1259","FR","continuous.forest",0.978326122793608,1.703,0.744,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.739
"1261","FR","continuous.forest",0.978326122793608,1.703,0.738,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.641
"1265","FR","continuous.forest",0.978326122793608,1.703,0.769,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.683
"1268","FR","continuous.forest",0.978326122793608,1.703,0.766,0.732388637130749,0.467387370602807,1.50699306577254,516.2,81,15,57,0.576
"1286","FR","continuous.forest",0.978326122793608,1.703,0.738,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.651
